"Number","Word","Transliteration","Grammar","Russian","Example"
140,怎么,zěnme,мест.,"как, в каком состоянии, почему",你~去北京?
141,怎么样,zěnmeyàng,мест.,как (по твоему мнению),"我们去看电影,~?"
142,这(这儿),zhè(zhèr),мест.,"тут, это. этот, эта, эти","~个人是我的同学。
我能坐在~儿吗?"
143,中国,Zhōngguó,сущ.,Китай,我在~学汉语。
144,中午,zhōngwǔ,сущ.,полдень,我今天~去火车站。
145,住,zhù,гл.,жить (где-либо),他在北京~了很多年。
146,桌子,zhuōzi,сущ.,стол,电脑在~上。
147,字,zì,сущ.,"буква, иероглиф",这个~你认识吗?
148,昨天,zuótiān,сущ.,вчера,他~没去学校。
149,坐,zuò,гл.,сидеть,他一个下午都~在电视前。
"",,,гл.,ехать (на транспортном средстве),我~飞机去中国。
150,做,zuò,гл.,"изготавливать, делать",今天妈妈~了很多菜。
гл.,заниматься чем-либо,你是~什么工作的?,,,
гл.,делать,我每天~作业。,,,
151,吧,ba,служ.,"ставится в конце предложения, придает
значение предположения",你是个学生~?
"",,служ.,"ставится в конце предложения, придает
значение просьбы",请你走~!,
152,白,bái,прил.,белый,我很爱穿那件~衣服。
153,百,bǎi,числ.,сто,这个自行车五~多元。
154,帮助,bāngzhù,гл.,помогать,"请~我找一家搬家公司,好吗?"
155,报纸,bàozhǐ,сущ.,газета,我每天早上都要读~。
156,比,bǐ,пред.,обозначает сравнение,我的孩子~我高。
157,别,bié,нар.,не надо,"太晚了,~看电视了。"
158,长,cháng,прил.,длинный,"姐姐的腿~,跑得快。"
159,唱歌,chànggē,гл.,петь,"我最爱~了,我给你们唱一个。"
160,出,chū,гл.,выходить,我已经走~火车站了。
"",,гл.,случаться,"你帮我看看,这台电脑~什么问题了?",
"",,гл.,"ставится после глагола, обозначает тенденцию","我从他的脸上,没看~他难过来。",
161,穿,chuān,гл.,одеваться,"天冷了,多~些衣服吧。"
162,次,cì,сч. сл.,раз,我去过一~北京。
163,从,cóng,пред.,"от, начиная с чего-то","~我家到公司,开车要 20 分钟。"
164,错,cuò,прил.,ошибочный,"对不起,我~了。"
165,打篮球,dǎ lánqiú,,играть в баскетбол,我每天下午都去~。
166,大家,dàjiā,,все,请~不要等我了。
167,到,dào,гл.,прибыть,我早上 9 点~公司。
168,得,de,служ.,присоединяет дополнение,你走~太快了。
169,等,děng,гл.,ждать,你还要再~我 10 分钟。
170,弟弟,dìdi,сущ.,младший брат,"在我们家,我最大,我下面还有两个~。"
171,第一,dì-yī,числ.,первый,这是我~次见到他。
172,懂,dǒng,гл.,понимать,你的意思我~了。
173,对,duì,прил.,правильный,"你是~的,我错了。"
174,对,duì,пред.,к,"孩子~妈妈说:“妈妈,我爱你。”"
175,房间,fángjiān,сущ.,комната,我们两个人住一个~。
176,非常,fēicháng,нар.,"чрезвычайно, очень",奶奶~喜欢我们送的礼物。
177,服务员,fúwùyuán,сущ.,обслуживающий персонал,我在饭馆做~。
178,高,gāo,прил.,высокий,我比爸爸还~。
179,告诉,gàosu,гл.,рассказать,你能~我学校怎么走吗?
180,哥哥,gēge,сущ.,старший брат,我~比我大三岁。
181,给,gěi,гл.,передать,请把这本书~他。
"",,,пред.,для,这是~你买的。
182,公共汽车,gōnggòngqìchē,сущ.,автобус,"坐~去,要 20 分钟。"
183,公司,gōngsī,сущ.,компания,我在一个~上班。
184,狗,gǒu,сущ.,собака,女儿很喜欢小~。
185,贵,guì,прил.,дорогой,这块手表很~。
186,过,guo,служ.,"ставится после глагола, обозначает, что
действие уже было совершено",我没看~这本书。
187,还,hái,нар.,"еще, по-прежнему",他~没来呢。
"",,нар.,кроме того,"除了不吃肉,我~不吃鸡蛋。",
188,孩子,háizi,сущ.,сын или дочь,我有三个~。
"",,сущ.,ребенок,我们这里女~比男~多。,
189,好吃,hǎochī,,вкусный,您做的米饭真~。
190,黑,hēi,прил.,черный,我不喜欢~颜色的衣服。
191,红,hóng,прил.,красный,我的自行车是~色的。
192,欢迎,huānyíng,гл.,приветствовать,~你们来我们家。
193,回答,huídá,гл.,отвечать,我能~这个问题。
"",,сущ.,ответ,你的~不能让人满意。,
194,火车站,huǒchēzhàn,сущ.,железнодорожная станция,我下午 3 点去~。
195,机场,jīchǎng,сущ.,аэропорт,我在~工作了三年了。
196,鸡蛋,jīdàn,сущ.,яйцо,我每天早上都要吃个~。
197,件,jiàn,сч. сл,"употребляется при счете одежды или
инцидентов",这~衣服颜色非常好看。
198,教室,jiàoshì,сущ.,"класс, аудитория",请大家都到~去上课。
199,姐姐,jiějie,сущ.,старшая сестра,我有两个~。
200,介绍,jièshào,гл.,"представить, познакомить",我来~一下我的朋友。
"",,сущ.,"рецензия, очерк, описание",我在报纸上看到了这个电影的~。,
201,进,jìn,гл.,войти,我马上要~机场了。
202,近,jìn,прил.,"поблизости, недалеко",我们家离公司很~。
"",,,прил.,близкий (человек),我跟小王的关系很~。
203,就,jiù,нар.,обязательно,我~知道他会来的。
"",,нар.,сразу,我一到家~给他打电话。,
204,觉得,juéde,гл.,ощущать,你~这本书怎么样?
205,咖啡,kāfēi,сущ.,кофе,"您想喝~,还是茶?"
206,开始,kāishǐ,гл.,начинать,我们从第十课~学习。
"",,сущ.,начало,(学汉字)~可能会觉得有点难。,
207,考试,kǎoshì,сущ.,"экзамен, тест","为了准备~,他每天都学习到很晚。"
208,可能,kěnéng,всп. глаг,предположительно,我~不能去上班了。
"",,прил.,возможно,"这件事,完全是~的。",
209,可以,kěyǐ,всп. глаг,разрешено,你~开我的车去上班。
"",,прил.,неплохо,这个菜做得还~。,
210,课,kè,сущ.,урок (в учебнике),今天我们学习第一~。
"",,сущ.,"урок, занятие","现在,我们上~。",
211,快,kuài,прил.,быстро,他跑得真~。
"",,нар.,скоро,"7点 50 了,~上课了",
212,快乐,kuàilè,прил.,"весело, радостно, счастливо",祝你生日~!
"",,сущ.,веселье,女儿给我的生活带来很多~。,
213,累,lèi,прил.,усталый,"我~了,想休息。"
